date,forecast,market,internal_class
2024-04-01,29.595491287884922,Salt Lake City,A
2024-07-01,29.4591056197654,Salt Lake City,A
2024-10-01,29.35404626950854,Salt Lake City,A
2025-01-01,29.273117919568428,Salt Lake City,A
2025-01-01,47.62939468709237,San Diego,A
2025-04-01,47.52097104086166,San Diego,A
2025-07-01,47.414686028388715,San Diego,A
2025-10-01,47.31049746556971,San Diego,A
2024-10-01,33.50631662022155,San Diego,O
2025-01-01,33.36397565232258,San Diego,O
2025-04-01,33.233730928555076,San Diego,O
2025-07-01,33.114554500857075,San Diego,O
2025-01-01,75.2016858794981,San Francisco,A
2025-04-01,75.1944196087452,San Francisco,A
2025-07-01,75.18806912457285,San Francisco,A
2025-10-01,75.18251900806949,San Francisco,A
2025-01-01,57.25197353609222,San Francisco,O
2025-04-01,57.72785089447353,San Francisco,O
2025-07-01,58.15354737156429,San Francisco,O
2025-10-01,58.5343545005773,San Francisco,O
2024-10-01,49.02919864189366,Seattle,A
2025-01-01,48.81742017603279,Seattle,A
2025-04-01,48.641962201788786,Seattle,A
2025-07-01,48.49659567171846,Seattle,A
2025-01-01,35.611617520245545,Seattle,O
2025-04-01,35.450926709850236,Seattle,O
2025-07-01,35.29757621529074,Seattle,O
2025-10-01,35.151230732784356,Seattle,O
2025-01-01,54.58347832635509,South Florida,A
2025-04-01,54.50762221240204,South Florida,A
2025-07-01,54.43242586932727,South Florida,A
2025-10-01,54.357883558666344,South Florida,A
2025-01-01,36.97302627373003,South Florida,O
2025-04-01,36.93638524542825,South Florida,O
2025-07-01,36.90007392140295,South Florida,O
2025-10-01,36.864089334900335,South Florida,O
2025-01-01,32.90283166722027,Tampa,A
2025-04-01,32.828633420026804,Tampa,A
2025-07-01,32.757290944580355,Tampa,A
2025-10-01,32.68869432679831,Tampa,A
2025-01-01,25.559749042567976,Tampa,O
2025-04-01,25.520186998650352,Tampa,O
2025-07-01,25.48130207717778,Tampa,O
2025-10-01,25.44308268889045,Tampa,O
