date,forecast,market,internal_class
2025-01-01,29.902129078773534,Salt Lake City,A
2025-04-01,29.70639145374623,Salt Lake City,A
2025-07-01,29.563362797720753,Salt Lake City,A
2025-10-01,29.45884943989493,Salt Lake City,A
2025-01-01,24.179891253412578,Salt Lake City,O
2025-04-01,24.08598079016116,Salt Lake City,O
2025-07-01,23.99788484041921,Salt Lake City,O
2025-10-01,23.915243395661783,Salt Lake City,O
2025-01-01,47.65611009920552,San Diego,A
2025-04-01,47.57347021062257,San Diego,A
2025-07-01,47.49206170828407,San Diego,A
2025-10-01,47.41186624376159,San Diego,A
2025-01-01,33.71856906575886,San Diego,O
2025-04-01,33.630925193499635,San Diego,O
2025-07-01,33.546911523418,San Diego,O
2025-10-01,33.46637769283017,San Diego,O
2025-01-01,75.19858130490778,San Francisco,A
2025-04-01,75.18850019028184,San Francisco,A
2025-07-01,75.17959997258792,San Francisco,A
2025-10-01,75.1717423221258,San Francisco,A
2025-01-01,57.553013811249784,San Francisco,O
2025-04-01,58.29266954414149,San Francisco,O
2025-07-01,58.94943008737757,San Francisco,O
2025-10-01,59.5325857258331,San Francisco,O
2025-01-01,50.1303850192731,Seattle,A
2025-04-01,49.87828955262094,Seattle,A
2025-07-01,49.65100514839712,Seattle,A
2025-10-01,49.446089918903304,Seattle,A
2025-01-01,35.72321095450735,Seattle,O
2025-04-01,35.66724434739206,Seattle,O
2025-07-01,35.61208826782028,Seattle,O
2025-10-01,35.55773097745496,Seattle,O
2025-01-01,54.597455932115096,South Florida,A
2025-04-01,54.5353581486697,South Florida,A
2025-07-01,54.473703465192315,South Florida,A
2025-10-01,54.41248871993431,South Florida,A
2025-01-01,36.97751684567482,South Florida,O
2025-04-01,36.94525967611983,South Florida,O
2025-07-01,36.91322691916271,South Florida,O
2025-10-01,36.88141701356871,South Florida,O
2025-01-01,32.8476890249685,Tampa,A
2025-04-01,32.72492542511701,Tampa,A
2025-07-01,32.61102027518588,Tampa,A
2025-10-01,32.50533436180008,Tampa,A
2025-01-01,25.56828579635954,Tampa,O
2025-04-01,25.5369416907209,Tampa,O
2025-07-01,25.505963364119232,Tampa,O
2025-10-01,25.475346547991073,Tampa,O
