date,forecast,lower_ci,upper_ci,market,internal_class
2025-01-01,35.20351617316216,34.39623705241985,36.010795293904465,Atlanta,A
2025-04-01,35.10580433282721,34.06044869371478,36.15115997193964,Atlanta,A
2025-07-01,35.316715997922756,34.132543752968154,36.50088824287736,Atlanta,A
2025-10-01,36.560507788630034,35.28464384814772,37.83637172911235,Atlanta,A
2024-10-01,25.03249793888872,24.60590761250609,25.45908826527135,Atlanta,O
2025-01-01,24.864633765310042,24.10601827846844,25.623249252151645,Atlanta,O
2025-04-01,24.86495079944514,23.875175077862963,25.854726521027317,Atlanta,O
2025-07-01,25.510518071072447,24.35871163958869,26.662324502556203,Atlanta,O
2025-01-01,52.97765910849575,50.5862311838384,55.3690870331531,Austin,A
2025-04-01,52.29952176101543,48.97007116253648,55.62897235949438,Austin,A
2025-07-01,53.14304552299039,49.12312526719819,57.16296577878259,Austin,A
2025-10-01,53.339212837578295,48.750190310045156,57.92823536511143,Austin,A
2025-01-01,33.70951429612784,32.230812550606096,35.18821604164959,Austin,O
2025-04-01,33.56653889386409,31.176064074856445,35.957013712871735,Austin,O
2025-07-01,33.50920419605868,30.942350525764578,36.07605786635279,Austin,O
2025-10-01,33.523851930666595,30.560835085594025,36.48686877573916,Austin,O
2025-01-01,26.32115094772935,25.755544069093137,26.886757826365564,Baltimore,A
2025-04-01,26.287950766336795,25.478990427725577,27.096911104948013,Baltimore,A
2025-07-01,26.316588115564407,25.29062653696294,27.342549694165875,Baltimore,A
2025-10-01,26.347186755170718,25.166720439061844,27.52765307127959,Baltimore,A
2025-01-01,21.521273432475887,21.20021530215537,21.842331562796403,Baltimore,O
2025-04-01,21.375827561761295,20.999787877580896,21.751867245941693,Baltimore,O
2025-07-01,21.46324518843294,21.02814825235623,21.898342124509647,Baltimore,O
2025-10-01,21.243834199609207,20.77647937662416,21.711189022594255,Baltimore,O
2025-01-01,54.061058811487754,49.39817414022286,58.72394348275265,Boston,A
2025-04-01,56.38076953788102,53.76682111682807,58.994717958933975,Boston,A
2025-07-01,56.857115964312484,54.076172102002616,59.63805982662235,Boston,A
2025-10-01,58.599311768711374,55.68612374292022,61.512499794502524,Boston,A
2025-01-01,31.0194419365855,28.5202813132838,33.518602559887206,Boston,O
2025-04-01,32.59490458454387,28.289001048201655,36.90080812088608,Boston,O
2025-07-01,32.759913138179684,27.310365679454257,38.20946059690511,Boston,O
2025-10-01,32.566669729318,26.118522768697435,39.01481668993857,Boston,O
2025-01-01,37.060207625961645,35.76115043793338,38.35926481398991,Charlotte,A
2025-04-01,37.49232655687317,35.60645227757986,39.37820083616647,Charlotte,A
2025-07-01,37.58844063471611,35.21708161754913,39.95979965188309,Charlotte,A
2025-10-01,37.89168866076081,35.224924709175156,40.55845261234647,Charlotte,A
2024-10-01,28.32864535946438,27.027809707834255,29.62948101109451,Charlotte,O
2025-01-01,28.036051475548152,26.691043807159748,29.381059143936557,Charlotte,O
2025-04-01,29.145921599611135,26.071865522138566,32.219977677083705,Charlotte,O
2025-07-01,28.811016578007866,27.529676518476226,30.092356637539506,Charlotte,O
2025-01-01,32.3230548499234,31.50228798044252,33.14382171940428,Chicago Suburbs,A
2025-04-01,32.2752396497547,31.110451217067983,33.44002808244142,Chicago Suburbs,A
2025-07-01,32.2664755359217,30.879522515441995,33.6534285564014,Chicago Suburbs,A
2025-10-01,32.24687451392455,30.648311063959042,33.84543796389006,Chicago Suburbs,A
2025-01-01,23.388563132643952,23.209460663149464,23.56766560213844,Chicago Suburbs,O
2025-04-01,22.81327683864076,22.813197675861204,22.813356001420317,Chicago Suburbs,O
2025-07-01,22.594009012754185,22.593928416564502,22.594089608943868,Chicago Suburbs,O
2025-10-01,23.234541653134222,23.234222691634987,23.234860614633458,Chicago Suburbs,O
2024-10-01,24.125239057795174,22.992176801300303,25.258301314290044,Detroit,A
2025-01-01,26.484948533919695,24.893270681134446,28.076626386704945,Detroit,A
2025-04-01,26.48232524004946,24.54146842210015,28.42318205799877,Detroit,A
2025-07-01,26.119251538513595,23.88481773280541,28.35368534422178,Detroit,A
2025-01-01,19.97874746200248,19.269086821717273,20.68840810228769,Detroit,O
2025-04-01,20.11846452970217,19.378211677379607,20.858717382024732,Detroit,O
2025-07-01,20.73660833801843,19.635501117122406,21.837715558914457,Detroit,O
2025-10-01,20.451697636267962,19.68663913091453,21.216756141621396,Detroit,O
2025-01-01,36.63206534465966,35.65159692271512,37.612533766604194,Houston,A
2025-04-01,37.011904629847336,35.60612216045862,38.417687099236055,Houston,A
2025-07-01,36.815553804215526,35.01540649578616,38.61570111264489,Houston,A
2025-10-01,36.761825637851345,34.660120678620345,38.863530597082345,Houston,A
2025-01-01,23.108348614624756,22.44544552644285,23.771251702806662,Houston,O
2025-04-01,23.213419343389802,22.27693836378308,24.149900322996523,Houston,O
2025-07-01,23.407309797741416,22.13324380163039,24.681375793852443,Houston,O
2025-10-01,23.508751233846905,22.211544623769203,24.805957843924606,Houston,O
2025-01-01,49.66998288245123,48.555082865290316,50.78488289961214,Los Angeles,A
2025-04-01,49.24734018644635,47.36687706864651,51.12780330424619,Los Angeles,A
2025-07-01,49.29538369842361,46.84853946870794,51.742227928139286,Los Angeles,A
2025-10-01,49.999253793002644,47.09089253196607,52.90761505403922,Los Angeles,A
2025-01-01,42.02730417065675,-999217575.8583281,999217659.9129364,Los Angeles,O
2025-04-01,41.04930185071965,-1112780470.8167186,1112780552.9153223,Los Angeles,O
2025-07-01,40.855940031904176,-1225163912.0504441,1225163993.7623243,Los Angeles,O
